PWSID,SAMP_DATE,SAMP_TIME,LAB_NUM,ANADATE,INDATE,METHOD,INBY,SPECIAL,STORE_NUM,XMOD,FINDING,CHEMICAL,AKA1,AKA2,CLS,RPT_CDE,RPT_UNIT,MCL,NL,TRIGGER_AM,DLR,PHG,RPHL,CHEM_SORT,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
103041,2013-12-18,1053,5810,2013-12-27,2014-02-20,NA,#,S,00620,<,0,NITRITE (AS N),NA,NA,T,NI,MG/L,1,0,0.5,0.4,1,0,NITRITE (AS N),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2013-12-18,1053,5810,2013-12-27,2014-02-20,NA,#,S,01501,<,0,GROSS ALPHA,TOTAL ALPHA,NA,R,RA,PCI/L,15,0,5,3,0,0,GROSS ALPHA,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2013-12-18,1053,5810,2013-12-27,2014-02-20,NA,#,S,01502,NA,0.22,GROSS ALPHA COUNTING ERROR,TOTAL ALPHA COUNTING ERROR,NA,R,RA,PCI/L,0,0,0,0,0,0,GROSS ALPHA COUNTING ERROR,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2013-12-18,1053,5810,2013-12-27,2014-02-20,NA,#,S,71850,NA,9.8,NITRATE (AS NO3),NA,NA,T,NI,MG/L,45,0,23,2,45,45,NITRATE (AS NO3),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2013-12-18,1053,5810,2013-12-27,2014-02-20,NA,#,S,A-072,NA,2.01,GROSS ALPHA MDA95,NA,NA,R,RA,PCI/L,0,0,0,0,0,0,NA,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-03-25,1257,5810,2014-04-03,2014-05-14,NA,#,S,01501,<,0,GROSS ALPHA,TOTAL ALPHA,NA,R,RA,PCI/L,15,0,5,3,0,0,GROSS ALPHA,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-03-25,1257,5810,2014-04-03,2014-05-14,NA,#,S,01502,NA,0.191,GROSS ALPHA COUNTING ERROR,TOTAL ALPHA COUNTING ERROR,NA,R,RA,PCI/L,0,0,0,0,0,0,GROSS ALPHA COUNTING ERROR,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-03-25,1257,5810,2014-04-03,2014-05-14,NA,#,S,A-072,NA,1.16,GROSS ALPHA MDA95,NA,NA,R,RA,PCI/L,0,0,0,0,0,0,NA,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-06-25,1310,5810,2014-07-07,2014-08-26,NA,#,S,01501,<,0,GROSS ALPHA,TOTAL ALPHA,NA,R,RA,PCI/L,15,0,5,3,0,0,GROSS ALPHA,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-06-25,1310,5810,2014-07-07,2014-08-26,NA,#,S,01502,NA,0.191,GROSS ALPHA COUNTING ERROR,TOTAL ALPHA COUNTING ERROR,NA,R,RA,PCI/L,0,0,0,0,0,0,GROSS ALPHA COUNTING ERROR,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-06-25,1310,5810,2014-07-07,2014-08-26,NA,#,S,A-072,NA,1.16,GROSS ALPHA MDA95,NA,NA,R,RA,PCI/L,0,0,0,0,0,0,NA,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-09-23,1452,5810,2014-10-07,2014-11-03,NA,#,S,01501,<,0,GROSS ALPHA,TOTAL ALPHA,NA,R,RA,PCI/L,15,0,5,3,0,0,GROSS ALPHA,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-09-23,1452,5810,2014-10-07,2014-11-03,NA,#,S,01502,NA,0.191,GROSS ALPHA COUNTING ERROR,TOTAL ALPHA COUNTING ERROR,NA,R,RA,PCI/L,0,0,0,0,0,0,GROSS ALPHA COUNTING ERROR,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-09-23,1452,5810,2014-10-07,2014-11-03,NA,#,S,A-072,NA,1.64,GROSS ALPHA MDA95,NA,NA,R,RA,PCI/L,0,0,0,0,0,0,NA,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-11-19,1419,5810,2014-11-20,2015-01-07,NA,#,S,01032,<,0,"CHROMIUM, HEXAVALENT",CHROMIUM VI,CHROMIUM 6,T,IO,UG/L,0,0,10,1,0,0,"CHROMIUM, HEXAVALENT",TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
